X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12
0.0068423385,0.16295087,0.058522508,0.8064143,0.033544865,2.963554e-06,3.698103e-05,1.3109381e-05,4.569749e-05,2.0015204e-05,1.1597307e-05,0.00021739968
0.026232362,0.15879278,0.057074565,0.81036377,0.0469439,0.00038608935,0.0014421028,0.00086421205,0.0019708213,0.0010689894,0.00082448486,0.003735626
0.010235739,0.16695628,0.054513983,0.80924344,0.03545071,9.871854e-06,9.127622e-05,3.824545e-05,0.00010960511,4.7930705e-05,3.5304398e-05,0.0004007081
0.0064649996,0.173155,0.06288427,0.7973395,0.030228494,1.0398848e-06,1.5441508e-05,5.3334334e-06,1.844896e-05,8.015487e-06,4.673361e-06,7.306968e-05
0.002826595,0.1549524,0.047209654,0.8167709,0.02095312,1.0748815e-07,3.2370856e-06,8.9729554e-07,3.888103e-06,1.3149007e-06,7.520093e-07,2.3527138e-05
0.009843985,0.17087448,0.062262807,0.79784614,0.037065998,4.76919e-06,6.043e-05,2.2366074e-05,8.046885e-05,3.3623237e-05,2.1624995e-05,0.00031696257
0.009259121,0.1665575,0.060880583,0.8041957,0.0358602,8.306718e-06,8.026454e-05,2.874396e-05,0.000109203465,4.79946e-05,3.2566513e-05,0.00041543774
0.016125858,0.15706027,0.054652106,0.81401974,0.03842476,7.45332e-05,0.00044611946,0.00020107662,0.0005611248,0.0002518573,0.00020234773,0.0014219256
0.007985153,0.16595784,0.05804191,0.80701417,0.03328734,2.4497497e-06,3.061133e-05,1.1422051e-05,4.4167242e-05,1.9240264e-05,1.1393188e-05,0.000168205
0.0027330066,0.16676039,0.059168987,0.8036567,0.022417836,1.5152376e-07,3.0537628e-06,9.978468e-07,4.1288295e-06,1.6274896e-06,7.48944e-07,2.837119e-05
0.03244086,0.16155677,0.058937013,0.8089333,0.048299138,0.00076249335,0.0026388993,0.0014890387,0.0033754283,0.0017508526,0.0016114517,0.006165061
0.0015377429,0.15853988,0.046474118,0.81559163,0.016414361,8.990703e-09,4.757152e-07,1.2668569e-07,6.3454854e-07,2.1225556e-07,9.859924e-08,4.7629997e-06
0.0154972,0.14952238,0.051245682,0.8203413,0.03746327,6.0480845e-05,0.00042566826,0.00017169346,0.00048772298,0.00024221597,0.00020100015,0.0013073974
0.008745244,0.15582392,0.05347213,0.813886,0.032540694,3.4944733e-06,4.5691297e-05,1.8862767e-05,6.389363e-05,2.6941e-05,1.7054714e-05,0.00023291056
0.010332169,0.17368239,0.06680376,0.7960624,0.038238507,2.0368409e-05,0.00014080305,5.833748e-05,0.00018803358,8.8436565e-05,6.1471495e-05,0.0006376548
0.004354139,0.15352945,0.04919028,0.8141699,0.022181937,1.0163269e-06,1.18510925e-05,4.451484e-06,1.753691e-05,9.191622e-06,4.033478e-06,6.991829e-05
